"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2020","1,488.00","1,488.00","1,488.00","1,488.00","","-1.06%"
"08/27/2020","1,504.00","1,504.00","1,504.00","1,504.00","","-0.33%"
"08/26/2020","1,509.00","1,509.00","1,509.00","1,509.00","","-0.59%"
"08/25/2020","1,518.00","1,518.00","1,518.00","1,518.00","","1.81%"
"08/24/2020","1,491.00","1,491.00","1,491.00","1,491.00","","0.68%"
"08/21/2020","1,481.00","1,481.00","1,481.00","1,481.00","","-2.44%"
"08/20/2020","1,518.00","1,518.00","1,518.00","1,518.00","","-3.19%"
"08/19/2020","1,568.00","1,568.00","1,568.00","1,568.00","","-1.13%"
"08/18/2020","1,586.00","1,586.00","1,586.00","1,586.00","","-0.75%"
"08/17/2020","1,598.00","1,598.00","1,598.00","1,598.00","","0.19%"
"08/14/2020","1,595.00","1,595.00","1,595.00","1,595.00","","1.14%"
"08/13/2020","1,577.00","1,577.00","1,577.00","1,577.00","","2.40%"
"08/12/2020","1,540.00","1,540.00","1,540.00","1,540.00","","1.99%"
"08/11/2020","1,510.00","1,510.00","1,510.00","1,510.00","","0.27%"
"08/10/2020","1,506.00","1,506.00","1,506.00","1,506.00","","0.33%"
"08/07/2020","1,501.00","1,501.00","1,501.00","1,501.00","","8.38%"
"08/03/2020","1,385.00","1,385.00","1,385.00","1,385.00","","2.59%"
"07/31/2020","1,350.00","1,350.00","1,350.00","1,350.00","","0.15%"
"07/30/2020","1,348.00","1,348.00","1,348.00","1,348.00","","2.35%"
"07/29/2020","1,317.00","1,317.00","1,317.00","1,317.00","","4.19%"
"07/28/2020","1,264.00","1,264.00","1,264.00","1,264.00","","-2.24%"
"07/27/2020","1,293.00","1,293.00","1,293.00","1,293.00","","-1.82%"
"07/24/2020","1,317.00","1,317.00","1,317.00","1,317.00","","-5.12%"
